2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 15:04:48,228 baseline.train INFO: Epoch[3] Iteration[950/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:06:42,003 baseline.train INFO: Epoch[3] Iteration[1000/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:08:32,102 baseline.train INFO: Epoch[3] Iteration[1050/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:10:28,013 baseline.train INFO: Epoch[3] Iteration[1100/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:12:19,658 baseline.train INFO: Epoch[3] Iteration[1150/3385] Loss: 0.219, Acc: 0.908, Base Lr: 1.07e-04
2021-02-09 15:14:11,126 baseline.train INFO: Epoch[3] Iteration[1200/3385] Loss: 0.219, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:16:02,619 baseline.train INFO: Epoch[3] Iteration[1250/3385] Loss: 0.219, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:17:53,793 baseline.train INFO: Epoch[3] Iteration[1300/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:19:43,297 baseline.train INFO: Epoch[3] Iteration[1350/3385] Loss: 0.219, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:21:33,863 baseline.train INFO: Epoch[3] Iteration[1400/3385] Loss: 0.219, Acc: 0.908, Base Lr: 1.07e-04
2021-02-09 15:23:25,618 baseline.train INFO: Epoch[3] Iteration[1450/3385] Loss: 0.219, Acc: 0.908, Base Lr: 1.07e-04
2021-02-09 15:25:12,198 baseline.train INFO: Epoch[3] Iteration[1500/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:27:03,507 baseline.train INFO: Epoch[3] Iteration[1550/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:28:55,930 baseline.train INFO: Epoch[3] Iteration[1600/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:30:48,948 baseline.train INFO: Epoch[3] Iteration[1650/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:32:34,353 baseline.train INFO: Epoch[3] Iteration[1700/3385] Loss: 0.221, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:34:25,205 baseline.train INFO: Epoch[3] Iteration[1750/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:36:17,676 baseline.train INFO: Epoch[3] Iteration[1800/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:38:13,979 baseline.train INFO: Epoch[3] Iteration[1850/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:40:05,682 baseline.train INFO: Epoch[3] Iteration[1900/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:41:57,365 baseline.train INFO: Epoch[3] Iteration[1950/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:43:48,351 baseline.train INFO: Epoch[3] Iteration[2000/3385] Loss: 0.221, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 15:45:39,015 baseline.train INFO: Epoch[3] Iteration[2050/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:47:26,576 baseline.train INFO: Epoch[3] Iteration[2100/3385] Loss: 0.220, Acc: 0.907, Base Lr: 1.07e-04
2021-02-09 15:49:19,228 baseline.train INFO: Epoch[3] Iteration[2150/3385] Loss: 0.221, Acc: 0.906, Base Lr: 1.07e-04
2021-02-09 15:51:16,112 baseline.train INFO: Epoch[3] Iteration[2200/3385] Loss: 0.221, Acc: 0.906, Base Lr: 1.07e-04
